,$\gamma^\mathrm{risk}$,$\gamma^\mathrm{trade}$,$\gamma^\mathrm{hold}$,Return,Risk,is_pareto
0,1,7,100,55.897,33.6675,False
1,1,7,1000,55.8972,33.6675,True
2,1,8,100,53.3934,32.7758,True
3,1,8,1000,53.3933,32.7758,True
4,1,9,100,50.6889,32.1384,True
5,1,9,1000,50.6887,32.1384,True
6,1,10,100,47.8762,31.3745,False
7,1,10,1000,47.8763,31.3744,False
8,1,11,100,44.9033,30.4865,False
9,1,11,1000,44.9032,30.4865,False
10,2,7,100,50.1738,29.4971,True
11,2,7,1000,50.1736,29.497,True
12,1,12,100,42.0002,29.3767,False
13,1,12,1000,42.0003,29.3767,False
14,2,8,100,47.4066,27.9362,True
15,2,8,1000,47.4065,27.9362,True
16,2,9,100,44.1462,26.2558,False
17,2,9,1000,44.1462,26.2558,False
18,3,7,1000,44.3421,25.0524,False
19,3,7,100,44.3425,25.0524,True
20,2,10,100,40.9332,24.7593,False
21,2,10,1000,40.9332,24.7593,False
22,1,12,10,34.9821,23.6614,False
23,2,11,1000,37.8198,23.454,False
24,1,11,10,36.6005,23.4423,False
25,2,11,100,37.827,23.4066,False
26,3,8,100,40.9821,23.3347,False
27,3,8,1000,40.9819,23.3347,False
28,1,10,10,38.5181,23.2096,False
29,1,9,10,40.4004,22.7897,False
30,2,12,100,34.7845,22.2327,False
31,2,12,1000,34.7844,22.2327,False
32,1,8,10,42.1921,22.0306,False
33,3,9,100,38.0538,21.838,False
34,3,9,1000,38.0537,21.838,False
35,1,7,10,43.6852,21.0177,True
36,3,10,100,35.2733,20.5001,False
37,3,10,1000,35.2733,20.5001,False
38,3,11,100,32.6616,19.2971,False
39,3,11,1000,32.6616,19.2971,False
40,3,12,100,30.2174,18.2249,False
41,3,12,1000,30.2174,18.2249,False
42,6,7,1000,32.3428,17.7098,False
43,6,7,100,32.3454,17.7096,False
44,2,12,10,28.463,17.1406,False
45,2,11,10,30.1952,16.9952,False
46,2,10,10,31.8026,16.7107,False
47,2,9,10,33.8473,16.4325,False
48,6,8,100,29.8789,16.2992,False
49,6,8,1000,29.878,16.2992,False
50,2,8,10,35.3567,15.9884,False
51,2,7,10,37.292,15.4637,True
52,6,9,100,27.663,15.1443,False
53,6,9,1000,27.6626,15.1443,False
54,6,10,100,25.5885,14.1963,False
55,6,10,1000,25.5884,14.1962,False
56,3,12,10,25.0201,13.6207,False
57,3,11,10,26.4957,13.5295,False
58,3,10,10,28.2024,13.3989,False
59,6,11,100,23.714,13.3598,False
60,6,11,1000,23.7139,13.3598,False
61,3,9,10,30.2424,13.2131,False
62,10,7,100,24.9404,13.1533,False
63,10,7,1000,24.9353,13.1533,False
64,3,8,10,31.7746,12.9471,False
65,3,7,10,33.8081,12.6944,True
66,6,12,100,22.1074,12.5887,False
67,6,12,1000,22.1074,12.5887,False
68,10,8,100,22.9369,12.1576,False
69,10,8,1000,22.9342,12.1576,False
70,10,9,100,21.1545,11.2955,False
71,10,9,1000,21.1534,11.2955,False
72,10,10,100,19.6925,10.5153,False
73,10,10,1000,19.692,10.5152,False
74,10,11,100,18.2592,9.8565,False
75,10,11,1000,18.259,9.85647,False
76,6,12,10,19.9008,9.39554,False
77,6,10,10,23.2285,9.34704,False
78,6,11,10,21.4728,9.34555,False
79,6,9,10,24.9783,9.33948,False
80,6,7,10,28.8179,9.31565,True
81,10,12,100,17.0106,9.29166,False
82,10,12,1000,17.0105,9.29164,False
83,6,8,10,26.8898,9.27053,True
84,1,7,0.1,25.4072,9.10148,False
85,18,7,100,18.1485,9.00452,False
86,18,7,1000,18.1367,9.00403,False
87,1,7,1,26.8353,8.99626,True
88,1,8,0.1,22.106,8.75806,False
89,1,8,1,23.7853,8.6416,False
90,1,9,0.1,19.1721,8.39802,False
91,2,7,0.1,24.855,8.38637,False
92,1,9,1,20.9359,8.31661,False
93,18,8,100,16.7582,8.31202,False
94,18,8,1000,16.7531,8.3116,False
95,2,7,1,25.8644,8.28146,True
96,1,10,0.1,16.7053,8.1093,False
97,2,8,0.1,21.7168,8.0507,False
98,1,10,1,18.8773,8.02213,False
99,2,8,1,22.7205,7.97694,False
100,3,7,0.1,24.3233,7.94871,False
101,1,11,0.1,15.0434,7.88154,False
102,3,7,1,25.1389,7.86396,False
103,1,11,1,17.3055,7.77297,False
104,10,7,10,25.6061,7.77166,True
105,2,9,0.1,18.7321,7.74872,False
106,18,9,100,15.4654,7.74412,False
107,18,9,1000,15.463,7.74391,False
108,2,9,1,19.9171,7.67694,False
109,1,12,0.1,13.4135,7.63029,False
110,3,8,0.1,21.3794,7.62861,False
111,10,8,10,24.0721,7.59879,True
112,3,8,1,22.2842,7.56193,False
113,10,9,10,22.0761,7.5305,False
114,1,12,1,15.6471,7.5076,False
115,10,10,10,20.263,7.48453,False
116,2,10,0.1,16.2385,7.48311,False
117,10,11,10,18.5622,7.43166,False
118,2,10,1,17.5462,7.43154,False
119,10,12,10,17.0023,7.41866,False
120,3,9,0.1,18.4683,7.361,False
121,3,9,1,19.3923,7.29981,False
122,2,11,0.1,14.4085,7.25432,False
123,18,10,100,14.1923,7.2504,False
124,18,10,1000,14.1912,7.25029,False
125,6,7,0.1,23.0298,7.21093,False
126,2,11,1,15.9131,7.17947,False
127,6,7,1,23.5488,7.16286,True
128,3,10,0.1,15.939,7.12147,False
129,3,10,1,17.0268,7.06689,False
130,2,12,0.1,12.8434,7.01061,False
131,2,12,1,14.3788,6.93801,False
132,3,11,0.1,13.9676,6.91667,False
133,6,8,0.1,20.4581,6.91109,False
134,6,8,1,21.05,6.8731,False
135,3,11,1,15.1472,6.85913,False
136,18,11,100,13.1223,6.80989,False
137,18,11,1000,13.1218,6.80982,False
138,6,9,0.1,17.8803,6.67644,False
139,10,7,0.1,21.7288,6.67469,False
140,3,12,0.1,12.4256,6.67453,False
141,10,7,1,22.0667,6.65066,False
142,6,9,1,18.4281,6.64053,False
143,3,12,1,13.7048,6.62963,False
144,18,7,10,22.4312,6.5641,True
145,6,10,0.1,15.3441,6.49374,False
146,6,10,1,16.0135,6.45708,False
147,18,12,100,12.1927,6.40568,False
148,18,12,1000,12.1926,6.40564,False
