,$\gamma^\mathrm{risk}$,$\gamma^\mathrm{trade}$,$\gamma^\mathrm{hold}$,Return,Risk,is_pareto
0,0.1,5.5,1000,60.3666,36.8873,True
1,0.1,5.5,100,60.3665,36.8873,True
2,0.1,7.5,100,57.3593,36.8673,False
3,0.1,7.5,1000,57.3594,36.8672,False
4,0.1,7,100,58.4814,36.8469,False
5,0.1,7,1000,58.4815,36.8469,False
6,0.1,8,100,56.1417,36.8455,False
7,0.1,8,1000,56.1416,36.8455,False
8,0.1,6.5,100,59.3642,36.8407,False
9,0.1,6.5,1000,59.3643,36.8407,False
10,0.1,6,100,59.7472,36.8284,False
11,0.1,6,1000,59.7472,36.8284,False
12,0.17782,5.5,1000,60.143,36.6859,True
13,0.17782,5.5,100,60.1428,36.6859,True
14,0.17782,6,100,59.511,36.6134,False
15,0.17782,6,1000,59.511,36.6134,False
16,0.17782,6.5,100,59.1322,36.608,False
17,0.17782,6.5,1000,59.1321,36.608,False
18,0.17782,7,100,58.3444,36.5889,False
19,0.17782,7,1000,58.3443,36.5889,False
20,0.17782,7.5,100,57.2462,36.5887,False
21,0.17782,7.5,1000,57.2462,36.5887,False
22,0.17782,8,100,56.0164,36.5632,False
23,0.17782,8,1000,56.0164,36.5631,False
24,0.31624,5.5,1000,59.7529,36.3454,True
25,0.31624,5.5,100,59.7529,36.3454,True
26,0.31624,6,100,59.1365,36.2464,True
27,0.31624,6,1000,59.1361,36.2464,True
28,0.31624,6.5,1000,58.7568,36.2161,False
29,0.31624,6.5,100,58.7566,36.216,False
30,0.31624,7,1000,58.1189,36.1413,False
31,0.31624,7,100,58.119,36.1413,False
32,0.31624,7.5,100,57.0004,36.0917,False
33,0.31624,7.5,1000,57.0002,36.0916,False
34,0.31624,8,100,55.7832,36.0295,False
35,0.31624,8,1000,55.7832,36.0294,False
36,0.562,5.5,1000,59.0873,35.7724,False
37,0.562,5.5,100,59.0874,35.7723,True
38,0.562,6,100,58.6482,35.634,False
39,0.562,6,1000,58.6484,35.634,True
40,0.562,6.5,100,58.2308,35.5123,False
41,0.562,6.5,1000,58.231,35.5122,True
42,0.562,7,1000,57.5852,35.3596,False
43,0.562,7,100,57.585,35.3595,False
44,0.562,7.5,100,56.4806,35.1899,False
45,0.562,7.5,1000,56.4807,35.1898,False
46,0.562,8,1000,55.4077,35.0113,False
47,0.562,8,100,55.4078,35.0113,False
48,1,5.5,1000,58.1285,34.7481,False
49,1,5.5,100,58.1288,34.7481,True
50,1,6,100,57.6106,34.3347,False
51,1,6,1000,57.6108,34.3347,True
52,1,6.5,1000,56.6865,33.9939,True
53,1,6.5,100,56.6864,33.9939,True
54,1,7,100,55.897,33.6675,False
55,1,7,1000,55.8972,33.6675,True
56,1,7.5,100,54.7767,33.2008,False
57,1,7.5,1000,54.7768,33.2007,False
58,1,8,100,53.3934,32.7758,False
59,1,8,1000,53.3933,32.7758,False
60,0.1,8,10,52.3133,31.57,False
61,2,5.5,1000,54.0763,31.5037,False
62,2,5.5,100,54.0767,31.5035,False
63,0.1,7.5,10,53.1553,30.9834,False
64,2,6,100,52.6388,30.8853,False
65,2,6,1000,52.6385,30.8853,False
66,0.17782,8,10,51.4535,30.6559,False
67,0.1,7,10,53.9794,30.3442,False
68,2,6.5,1000,51.2001,30.2952,False
69,2,6.5,100,51.3286,30.2779,False
70,0.17782,7.5,10,52.2828,30.0549,False
71,0.1,6.5,10,54.45,29.6256,False
72,2,7,100,50.1738,29.4971,False
73,2,7,1000,50.1736,29.497,False
74,0.17782,7,10,52.9737,29.4084,False
75,0.31624,8,10,49.7807,29.0327,False
76,0.1,6,10,55.1473,28.9833,False
77,2,7.5,1000,48.8452,28.7554,False
78,2,7.5,100,48.8363,28.7507,False
79,0.17782,6.5,10,53.5088,28.7336,False
80,0.31624,7.5,10,50.6126,28.4625,False
81,0.1,5.5,10,55.8619,28.2885,True
82,3,5.5,1000,48.6936,28.1872,False
83,3,5.5,100,48.6956,28.1868,False
84,0.17782,6,10,54.1933,28.0697,False
85,2,8,100,47.4066,27.9362,False
86,2,8,1000,47.4065,27.9362,False
87,0.31624,7,10,51.0947,27.7436,False
88,0.17782,5.5,10,54.9166,27.3739,True
89,0.31624,6.5,10,51.7263,27.1415,False
90,3,6,1000,47.7026,27.077,False
91,3,6,100,47.7038,27.0769,False
92,0.31624,6,10,52.4088,26.4576,False
93,0.562,8,10,46.8325,26.2989,False
94,3,6.5,1000,46.0724,26.0055,False
95,3,6.5,100,46.0732,26.0054,False
96,0.31624,5.5,10,53.184,25.7905,True
97,0.562,7.5,10,47.5203,25.6835,False
98,0.562,7,10,48.1779,25.0908,False
99,3,7,1000,44.3421,25.0524,False
100,3,7,100,44.3425,25.0524,False
101,0.562,6.5,10,48.7555,24.4383,False
102,3,7.5,1000,42.6037,24.1832,False
103,3,7.5,100,42.6358,24.1824,False
104,0.562,6,10,49.3113,23.7924,False
105,3,8,100,40.9821,23.3347,False
106,3,8,1000,40.9819,23.3347,False
107,0.562,5.5,10,50.316,23.2289,True
108,1,8,10,42.1921,22.0306,False
109,1,7.5,10,42.9795,21.5709,False
110,1,7,10,43.6852,21.0177,False
111,1,6.5,10,44.2862,20.519,False
112,6,5.5,1000,36.5719,20.3956,False
113,6,5.5,100,36.5812,20.3942,False
114,1,6,10,45.1449,20.0464,False
115,1,5.5,10,46.064,19.6499,True
116,6,6,1000,35.1078,19.4137,False
117,6,6,100,35.1133,19.413,False
118,6,6.5,1000,33.6595,18.5339,False
119,6,6.5,100,33.6634,18.5335,False
120,6,7,1000,32.3428,17.7098,False
121,6,7,100,32.3454,17.7096,False
122,6,7.5,1000,31.0616,16.9719,False
123,6,7.5,100,31.0632,16.9718,False
124,6,8,100,29.8789,16.2992,False
125,6,8,1000,29.878,16.2992,False
126,2,8,10,35.3567,15.9884,False
127,2,7.5,10,36.29,15.7179,False
128,2,7,10,37.292,15.4637,False
129,2,6.5,10,38.2059,15.2754,False
130,2,6,10,39.0848,15.1093,False
131,10,5.5,1000,28.3519,15.0448,False
132,10,5.5,100,28.3704,15.0438,False
133,2,5.5,10,40.2169,15.0182,True
134,10,6,1000,27.1478,14.3402,False
135,10,6,100,27.1593,14.3399,False
136,10,6.5,1000,26.0419,13.7143,False
137,10,6.5,100,26.0494,13.7143,False
138,10,7,100,24.9404,13.1533,False
139,10,7,1000,24.9353,13.1533,False
140,3,8,10,31.7746,12.9471,False
141,3,7.5,10,32.8636,12.8047,False
142,3,7,10,33.8081,12.6944,False
143,10,7.5,100,23.8864,12.6356,False
144,10,7.5,1000,23.8828,12.6355,False
145,3,6.5,10,34.6825,12.6342,False
146,3,6,10,35.9151,12.617,False
147,3,5.5,10,37.1067,12.6151,True
148,10,8,100,22.9369,12.1576,False
149,10,8,1000,22.9342,12.1576,False
150,0.1,5.5,0.1,32.1527,11.5103,False
151,0.1,5.5,1,34.5042,11.2936,True
152,0.17782,5.5,0.1,31.9675,11.2851,False
153,0.1,6,0.1,30.1512,11.1611,False
154,0.17782,5.5,1,34.2204,11.0545,True
155,0.1,6,1,32.5059,10.9878,False
156,0.31624,5.5,0.1,31.6884,10.9518,False
157,0.17782,6,0.1,30.0045,10.9417,False
158,0.1,6.5,0.1,28.1805,10.8822,False
159,0.1,6.5,1,30.5565,10.82,False
160,0.17782,6,1,32.244,10.7498,False
161,0.31624,5.5,1,33.7678,10.716,True
162,0.1,7,1,28.8693,10.6715,False
163,0.1,7,0.1,26.2673,10.6641,False
164,0.17782,6.5,0.1,28.0519,10.6562,False
165,0.31624,6,0.1,29.7883,10.6169,False
166,0.17782,6.5,1,30.2539,10.5607,False
167,0.1,7.5,0.1,24.5473,10.5123,False
168,0.562,5.5,0.1,31.2601,10.5079,False
169,0.1,7.5,1,27.4943,10.4865,False
170,0.17782,7,0.1,26.1376,10.4318,False
171,0.31624,6,1,31.8211,10.4117,False
172,0.17782,7,1,28.5645,10.4068,False
173,18,5.5,1000,20.2601,10.3795,False
174,18,5.5,100,20.3034,10.3792,False
175,0.31624,6.5,0.1,27.8479,10.3275,False
176,0.1,8,0.1,22.9665,10.3145,False
177,0.1,8,1,26.0725,10.2967,False
178,0.562,5.5,1,33.0613,10.2737,True
179,0.17782,7.5,0.1,24.4319,10.2729,False
180,0.17782,7.5,1,27.1476,10.221,False
181,0.31624,6.5,1,29.8445,10.1904,False
182,0.562,6,0.1,29.4508,10.1709,False
183,0.31624,7,0.1,25.9556,10.0943,False
184,0.17782,8,0.1,22.8289,10.0818,False
185,0.17782,8,1,25.7322,10.0361,False
186,0.31624,7,1,28.0949,10.0315,False
187,0.562,6,1,31.2304,9.96178,False
188,1,5.5,0.1,30.6999,9.94872,False
189,0.31624,7.5,0.1,24.2563,9.9293,False
190,0.562,6.5,0.1,27.5981,9.88181,False
191,18,6,100,19.5239,9.86658,False
192,18,6,1000,19.4975,9.86612,False
193,0.31624,7.5,1,26.6501,9.85252,False
194,0.31624,8,0.1,22.6202,9.74114,False
195,1,5.5,1,32.0682,9.73902,True
196,0.562,6.5,1,29.3105,9.72134,False
197,0.31624,8,1,25.2159,9.66314,False
198,0.562,7,0.1,25.7177,9.64466,False
199,1,6,0.1,28.9621,9.61154,False
200,6,5.5,10,32.0107,9.60209,True
201,0.562,7,1,27.5013,9.55424,False
202,6,6,10,30.9232,9.4801,True
203,0.562,7.5,0.1,24.0251,9.47808,False
204,1,6,1,30.4608,9.43562,False
205,18,6.5,100,18.8072,9.41222,False
206,18,6.5,1000,18.789,9.4118,False
207,6,6.5,10,29.8075,9.38483,False
208,0.562,7.5,1,25.9931,9.37926,False
209,1,6.5,0.1,27.2362,9.34081,False
210,6,7,10,28.8179,9.31565,False
211,0.562,8,0.1,22.3653,9.29454,False
212,6,7.5,10,27.9211,9.27086,False
213,6,8,10,26.8898,9.27053,False
214,0.562,8,1,24.545,9.19048,False
215,2,5.5,0.1,29.823,9.17962,False
216,1,6.5,1,28.6692,9.1771,False
217,1,7,0.1,25.4072,9.10148,False
218,2,5.5,1,30.7542,9.04304,True
219,18,7,100,18.1485,9.00452,False
220,18,7,1000,18.1367,9.00403,False
221,1,7,1,26.8353,8.99626,False
222,1,7.5,0.1,23.742,8.93459,False
223,2,6,0.1,28.168,8.83754,False
224,1,7.5,1,25.2878,8.82155,False
225,1,8,0.1,22.106,8.75806,False
226,2,6,1,29.2059,8.71735,False
227,3,5.5,0.1,29.179,8.7008,False
228,1,8,1,23.7853,8.6416,False
229,18,7.5,100,17.4557,8.64039,False
230,18,7.5,1000,17.4481,8.63995,False
231,3,5.5,1,29.8543,8.6006,True
232,2,6.5,0.1,26.5133,8.60011,False
233,2,6.5,1,27.5777,8.48053,False
234,3,6,0.1,27.5446,8.38996,False
235,2,7,0.1,24.855,8.38637,False
236,18,8,100,16.7582,8.31202,False
237,18,8,1000,16.7531,8.3116,False
238,3,6,1,28.2621,8.2999,False
239,2,7,1,25.8644,8.28146,False
240,2,7.5,0.1,23.2372,8.21338,False
241,10,5.5,10,28.7581,8.16711,True
242,3,6.5,0.1,25.922,8.15402,False
243,2,7.5,1,24.3096,8.12365,False
244,3,6.5,1,26.7668,8.06526,False
245,2,8,0.1,21.7168,8.0507,False
246,10,6,10,27.6271,8.00413,False
247,2,8,1,22.7205,7.97694,False
248,3,7,0.1,24.3233,7.94871,False
249,6,5.5,0.1,27.3365,7.89002,False
250,10,6.5,10,26.5921,7.87159,False
251,3,7,1,25.1389,7.86396,False
252,6,5.5,1,27.7708,7.83702,True
253,3,7.5,0.1,22.7739,7.77823,False
254,10,7,10,25.6061,7.77166,False
255,3,7.5,1,23.6264,7.71194,False
256,10,7.5,10,24.8322,7.66867,False
257,3,8,0.1,21.3794,7.62861,False
258,6,6,0.1,25.8711,7.61805,False
259,10,8,10,24.0721,7.59879,False
260,6,6,1,26.3274,7.57239,True
261,3,8,1,22.2842,7.56193,False
262,6,6.5,0.1,24.4537,7.40732,False
263,6,6.5,1,24.9286,7.36374,False
264,10,5.5,0.1,25.4668,7.30797,False
265,10,5.5,1,25.7643,7.28027,True
266,6,7,0.1,23.0298,7.21093,False
267,6,7,1,23.5488,7.16286,False
268,6,7.5,0.1,21.5705,7.0529,False
269,10,6,0.1,24.2639,7.05153,False
270,18,5.5,10,25.3013,7.02585,True
271,10,6,1,24.5743,7.02355,True
272,6,7.5,1,22.1607,7.00867,False
273,32,5.5,100,14.6662,7.00579,False
274,32,5.5,1000,14.5789,7.00352,False
275,6,8,0.1,20.4581,6.91109,False
276,6,8,1,21.05,6.8731,False
277,10,6.5,0.1,22.9785,6.84817,False
278,18,6,10,24.3336,6.82346,True
279,10,6.5,1,23.2939,6.82307,False
280,10,7,0.1,21.7288,6.67469,False
281,18,6.5,10,23.4177,6.67339,True
282,32,6,100,14.0725,6.6652,False
283,32,6,1000,14.0179,6.66338,False
284,10,7,1,22.0667,6.65066,False
285,18,5.5,0.1,23.0133,6.63206,False
286,18,5.5,1,23.2288,6.61805,True
287,18,7,10,22.4312,6.5641,True
288,10,7.5,0.1,20.4905,6.52379,False
289,10,7.5,1,20.8665,6.50145,False
290,18,7.5,10,21.539,6.45558,False
291,18,6,0.1,22.1534,6.40862,False
292,18,6,1,22.357,6.39475,False
293,10,8,0.1,19.436,6.38673,False
294,10,8,1,19.855,6.36091,False
295,32,6.5,100,13.4888,6.35798,False
296,32,6.5,1000,13.4547,6.35622,False
297,18,8,10,20.9207,6.34768,False
298,18,6.5,0.1,21.0779,6.20831,False
299,18,6.5,1,21.2798,6.19262,False
300,32,5.5,10,22.3686,6.15521,True
301,32,7,100,12.9059,6.08684,False
302,32,7,1000,12.8827,6.08539,False
303,18,7,0.1,19.9953,6.05087,False
304,18,7,1,20.1968,6.03896,False
305,32,5.5,0.1,20.812,5.97952,False
306,32,5.5,1,20.952,5.9723,False
307,32,6,10,21.5816,5.96571,True
308,18,7.5,0.1,18.9559,5.91355,False
309,18,7.5,1,19.1861,5.90232,False
310,32,7.5,100,12.3435,5.84132,False
311,32,7.5,1000,12.3272,5.84025,False
312,32,6.5,10,20.7448,5.80433,True
313,18,8,0.1,17.9349,5.7901,False
314,18,8,1,18.2019,5.7761,False
315,32,6,0.1,20.0394,5.76733,False
316,32,6,1,20.1836,5.7597,True
317,32,7,10,19.8321,5.68042,False
318,32,8,100,11.8144,5.6147,False
319,32,8,1000,11.8031,5.6139,False
320,32,6.5,0.1,19.1933,5.59422,False
321,32,6.5,1,19.3259,5.58529,False
322,32,7.5,10,18.9322,5.57641,False
323,32,8,10,18.1341,5.475,False
324,56,5.5,10,20.0368,5.44246,True
325,32,7,0.1,18.2495,5.44206,False
326,32,7,1,18.3798,5.43469,False
327,56,5.5,0.1,18.9252,5.36256,False
328,56,5.5,1,19.0319,5.35756,False
329,32,7.5,0.1,17.3437,5.31155,False
330,32,7.5,1,17.4937,5.30698,False
331,56,6,10,19.3211,5.26588,True
332,32,8,0.1,16.3789,5.19901,False
333,32,8,1,16.5351,5.19374,False
334,56,6,0.1,18.2217,5.17208,False
335,56,6,1,18.3182,5.16758,False
336,56,6.5,10,18.5423,5.11851,True
337,56,6.5,0.1,17.4258,5.01397,False
338,56,6.5,1,17.5241,5.00936,False
339,56,7,10,17.7163,4.98715,False
340,56,7,0.1,16.6349,4.88095,False
341,56,7.5,10,16.7634,4.877,False
342,56,7,1,16.7293,4.87646,False
343,100,5.5,10,17.8616,4.79344,True
344,56,8,10,15.9237,4.7747,False
345,100,5.5,0.1,17.023,4.76155,False
346,100,5.5,1,17.1005,4.75814,False
347,56,7.5,0.1,15.7486,4.75501,False
348,56,7.5,1,15.849,4.75118,False
349,56,5.5,100,10.4809,4.64893,False
350,56,8,0.1,14.7879,4.64775,False
351,56,8,1,14.884,4.64376,False
352,100,6,10,17.2653,4.6428,True
353,56,5.5,1000,10.3367,4.64146,False
354,100,6,0.1,16.4482,4.60408,False
355,100,6,1,16.5224,4.60111,False
356,100,6.5,10,16.561,4.50642,True
357,100,6.5,0.1,15.7295,4.46331,False
358,100,6.5,1,15.8078,4.46062,False
359,56,6,100,10.0209,4.44325,False
360,56,6,1000,9.92332,4.43801,False
361,100,7,10,15.8132,4.37949,True
362,100,7,0.1,14.971,4.33916,False
363,100,7,1,15.0462,4.33609,False
364,100,7.5,10,14.9982,4.26525,False
365,56,6.5,100,9.59348,4.25534,False
366,56,6.5,1000,9.52823,4.25134,False
367,100,7.5,0.1,14.1561,4.23106,False
368,100,7.5,1,14.234,4.22708,False
369,178,5.5,10,15.8111,4.20389,True
370,178,5.5,0.1,15.12,4.20328,False
371,178,5.5,1,15.1882,4.20094,False
372,100,8,10,14.0567,4.1594,False
373,100,8,0.1,13.264,4.13101,False
374,100,8,1,13.3415,4.12776,False
375,56,7,100,9.20966,4.08069,False
376,178,6,0.1,14.6589,4.08019,False
377,56,7,1000,9.16521,4.07789,False
378,178,6,1,14.723,4.07781,False
379,178,6,10,15.3413,4.07582,True
380,178,6.5,0.1,14.0478,3.95951,False
381,178,6.5,1,14.1061,3.95642,False
382,178,6.5,10,14.7274,3.94183,True
383,56,7.5,100,8.82419,3.91743,False
384,56,7.5,1000,8.79437,3.91539,False
385,178,7,0.1,13.3046,3.85761,False
386,178,7,1,13.3646,3.85444,False
387,178,7,10,14.0181,3.81557,True
388,56,8,100,8.45778,3.76274,False
389,178,7.5,0.1,12.5015,3.76233,False
390,56,8,1000,8.43799,3.7612,False
391,178,7.5,1,12.568,3.7582,False
392,316,5.5,0.1,13.3334,3.69301,False
393,316,5.5,1,13.3883,3.68914,False
394,178,7.5,10,13.2547,3.68004,False
395,178,8,0.1,11.6685,3.67051,False
396,178,8,1,11.7276,3.66566,False
397,316,5.5,10,13.8498,3.59661,True
398,316,6,0.1,12.9138,3.5959,False
399,316,6,1,12.9663,3.59217,False
400,178,8,10,12.4056,3.53695,False
401,316,6.5,0.1,12.2959,3.50361,False
402,316,6.5,1,12.3519,3.49854,False
403,316,6,10,13.3879,3.43294,True
404,316,7,0.1,11.5723,3.41762,False
405,316,7,1,11.6203,3.41126,False
406,316,7.5,0.1,10.7438,3.33685,False
407,316,7.5,1,10.7992,3.32804,False
408,316,8,0.1,9.94206,3.25846,False
409,316,6.5,10,12.7946,3.25212,True
410,316,8,1,10.0052,3.24663,False
411,562,5.5,0.1,11.5093,3.2076,False
412,562,5.5,1,11.5458,3.18621,False
413,562,6,0.1,11.0803,3.10687,False
414,562,6,1,11.1284,3.07406,False
415,316,7,10,12.1151,3.06839,True
416,562,6.5,0.1,10.523,2.99489,False
417,100,5.5,100,7.30734,2.96332,False
418,562,6.5,1,10.5896,2.95103,False
419,100,5.5,1000,7.08306,2.94886,False
420,316,7.5,10,11.4273,2.89254,False
421,562,7,0.1,9.90438,2.87778,False
