$\gamma^\mathrm{risk}$,$\gamma^\mathrm{trade}$,$\gamma^\mathrm{hold}$,Return,Risk,is_pareto
0.1,5.5,100.0,60.3665,36.8873,False
0.1,5.5,1000.0,60.3666,36.8873,False
0.10528900000000001,5.5194,256.733,60.3218,36.8724,False
0.10433599999999998,5.59952,558.775,60.1812,36.8702,False
0.1,7.5,100.0,57.3593,36.8673,False
0.1,7.5,1000.0,57.3594,36.8672,False
0.10846099999999999,5.56471,262.223,60.2317,36.8619,False
0.100717,7.74252,508.853,56.7293,36.8607,False
0.10286400000000001,7.71125,137.664,56.8003,36.8547,False
0.10325699999999999,7.711539999999999,356.66,56.799,36.8533,False
0.104111,7.297000000000001,101.13,57.8498,36.8477,False
0.11340599999999999,5.58895,208.79,60.174,36.8473,False
0.1,7.0,1000.0,58.4815,36.8469,False
0.1,7.0,100.0,58.4814,36.8469,False
0.1,8.0,1000.0,56.1416,36.8455,False
0.1,8.0,100.0,56.1417,36.8455,False
0.100131,6.634060000000001,362.083,59.2431,36.8448,False
0.10664000000000001,7.42576,125.851,57.5463,36.8419,False
0.1,6.5,100.0,59.3642,36.8407,False
0.1,6.5,1000.0,59.3643,36.8407,False
0.106919,7.30333,478.254,57.8304,36.8377,False
0.105246,5.80819,929.3480000000001,59.9108,36.8347,False
0.102246,6.43032,182.012,59.4119,36.8307,False
0.10231699999999999,6.9294199999999995,197.283,58.6352,36.8304,False
0.104518,6.984310000000001,496.464,58.5076,36.8301,False
0.1,6.0,1000.0,59.7472,36.8284,False
0.1,6.0,100.0,59.7472,36.8284,False
0.10243599999999999,6.785760000000001,200.783,58.9532,36.8283,False
0.100819,6.06525,481.01300000000003,59.6726,36.8227,False
0.10519300000000001,6.775189999999999,620.452,58.968,36.8204,False
0.106498,5.94562,200.01,59.7788,36.8149,False
0.108375,6.48286,250.278,59.3496,36.8144,False
0.108196,6.7567,137.284,58.9998,36.812,False
0.11001099999999998,7.856560000000001,51.2604,56.4696,36.811,False
0.11480699999999999,7.368469999999999,506.39,57.6709,36.811,False
0.108447,6.24759,360.67900000000003,59.5167,36.8061,False
0.11714200000000001,7.651660000000001,175.90400000000002,56.9311,36.8052,False
0.117853,5.79859,547.85,59.8894,36.8031,False
0.114353,6.5536,906.883,59.2845,36.8003,False
0.10335599999999999,6.39078,47.8171,59.4596,36.7968,False
0.11618900000000001,5.85745,173.19799999999998,59.8288,36.7965,False
0.113721,6.43239,413.42,59.3746,36.7961,False
0.114408,7.982419999999999,314.153,56.1677,36.795,False
0.134678,5.5538,99.7716,60.1822,36.7937,False
0.116772,6.55703,92.7845,59.2753,36.793,False
0.120505,7.143269999999999,64.6933,58.1547,36.787,False
0.11851199999999999,6.72571,952.8480000000001,59.0414,36.7826,False
0.115264,6.17531,88.2886,59.5551,36.7825,False
0.117708,6.37426,202.382,59.4053,36.7818,False
0.11982899999999999,5.92705,313.659,59.7553,36.78,False
0.11307400000000001,7.81987,42.0115,56.5817,36.7765,False
0.12112200000000001,7.94968,371.223,56.233000000000004,36.7742,False
0.124919,7.23556,242.628,57.9452,36.7728,False
0.122073,6.968,752.1030000000001,58.5115,36.7708,False
0.126977,7.50829,300.498,57.299,36.7701,False
0.126357,7.35712,484.661,57.676,36.7697,False
0.145788,5.51799,517.562,60.2073,36.7672,False
0.133188,5.78632,708.4580000000001,59.8642,36.7647,False
0.13004000000000002,7.5637300000000005,65.7796,57.1458,36.7575,False
