,$\gamma^\mathrm{risk}$,$\gamma^\mathrm{trade}$,$\gamma^\mathrm{hold}$,Return,Risk,is_pareto
0,0.1,5.5,1000,51.0539,36.4799,True
1,0.1,5.5,100,51.0536,36.4796,True
2,0.1,6,1000,49.9745,36.4274,False
3,0.1,6,100,49.9738,36.427,False
4,0.1,6.5,1000,48.7882,36.3798,False
5,0.1,6.5,100,48.7882,36.3798,False
6,0.1,7,1000,47.7854,36.2642,False
7,0.1,7,100,47.7855,36.2642,False
8,0.17782,5.5,1000,50.9742,36.2438,True
9,0.17782,5.5,100,50.9733,36.2434,True
10,0.1,7.5,1000,46.6191,36.1717,False
11,0.1,7.5,100,46.6193,36.1717,False
12,0.17782,6,1000,49.9779,36.1419,False
13,0.17782,6,100,49.9776,36.1416,False
14,0.17782,6.5,1000,48.7494,36.0766,False
15,0.17782,6.5,100,48.75,36.0765,False
16,0.1,8,100,45.614,35.971,False
17,0.1,8,1000,45.6136,35.971,False
18,0.17782,7,1000,47.6693,35.9312,False
19,0.17782,7,100,47.6696,35.9311,False
20,0.31624,5.5,1000,50.8217,35.8396,True
21,0.31624,5.5,100,50.8207,35.8393,True
22,0.17782,7.5,1000,46.4254,35.8043,False
23,0.17782,7.5,100,46.4259,35.8042,False
24,0.31624,6,1000,49.9732,35.6568,False
25,0.31624,6,100,49.9734,35.6566,False
26,0.31624,6.5,1000,48.5991,35.5402,False
27,0.31624,6.5,100,48.5997,35.5401,False
28,0.17782,8,1000,45.4808,35.5343,False
29,0.17782,8,100,45.481,35.5342,False
30,0.31624,7,1000,47.3535,35.3634,False
31,0.31624,7,100,47.354,35.3634,False
32,0.31624,7.5,1000,46.2074,35.1234,False
33,0.31624,7.5,100,46.2076,35.1234,False
34,0.562,5.5,1000,50.5227,35.0944,True
35,0.562,5.5,100,50.5222,35.094,True
36,0.31624,8,1000,45.3095,34.8192,False
37,0.31624,8,100,45.3097,34.8192,False
38,0.562,6,1000,49.8146,34.7753,False
39,0.562,6,100,49.8146,34.7748,True
40,0.562,6.5,1000,48.1646,34.4921,False
41,0.562,6.5,100,48.1641,34.4919,False
42,0.562,7,1000,46.7651,34.1468,False
43,0.562,7,100,46.7655,34.1466,False
44,0.562,7.5,1000,45.421,33.7391,False
45,0.562,7.5,100,45.4215,33.7391,False
46,1,5.5,1000,49.201,33.4981,False
47,1,5.5,100,49.2014,33.4975,True
48,0.562,8,1000,44.2101,33.3932,False
49,0.562,8,100,44.2105,33.3932,False
50,1,6,1000,48.0763,32.7852,False
51,1,6,100,48.0764,32.7847,True
52,0.1,8,10,41.735,32.3921,False
53,1,6.5,1000,46.4907,32.2748,False
54,1,6.5,100,46.491,32.2745,True
55,0.1,7.5,10,42.5514,32.0316,False
56,1,7,1000,44.8838,31.7949,False
57,1,7,100,44.8842,31.7948,False
58,0.17782,8,10,40.8464,31.548,False
59,0.1,7,10,43.3095,31.5358,False
60,0.17782,7.5,10,41.6103,31.1777,False
61,1,7.5,1000,42.9564,31.1158,False
62,1,7.5,100,42.9569,31.1155,False
63,0.1,6.5,10,44.0996,30.9261,False
64,0.17782,7,10,42.5134,30.6893,False
65,1,8,1000,41.022,30.2699,False
66,1,8,100,41.0221,30.2698,False
67,0.1,6,10,44.8438,30.1006,False
68,0.17782,6.5,10,43.3622,30.0426,False
69,0.31624,8,10,39.2493,29.9991,False
70,0.31624,7.5,10,39.8825,29.6206,False
71,0.17782,6,10,44.0301,29.2167,False
72,2,5.5,1000,43.6569,29.1886,False
73,2,5.5,100,43.6575,29.1866,False
74,0.31624,7,10,40.9102,29.1121,False
75,0.1,5.5,10,45.0159,29.0246,True
76,0.31624,6.5,10,41.9575,28.4443,False
77,2,6,1000,41.897,28.1245,False
78,2,6,100,41.897,28.1232,False
79,0.17782,5.5,10,43.953,28.0977,True
80,0.31624,6,10,42.379,27.6101,True
81,0.562,8,10,36.1516,27.2911,False
82,2,6.5,1000,39.996,27.0218,False
83,2,6.5,100,39.9958,27.0206,False
84,0.562,7.5,10,36.9241,26.83,False
85,0.31624,5.5,10,42.0138,26.4594,True
86,0.562,7,10,37.926,26.335,False
87,2,7,1000,37.949,25.8871,False
88,2,7,100,37.9489,25.8862,False
89,0.562,6.5,10,39.0807,25.7194,False
90,3,5.5,1000,38.6127,25.0695,False
91,3,5.5,100,38.6732,25.0355,False
92,0.562,6,10,39.0908,24.8333,True
93,2,7.5,1000,35.9351,24.788,False
94,2,7.5,100,35.9349,24.7873,False
95,2,8,1000,33.9229,23.7629,False
96,2,8,100,33.9226,23.7625,False
97,0.562,5.5,10,38.9362,23.7546,True
98,3,6,1000,36.5401,23.7497,False
99,3,6,100,36.5405,23.7474,True
100,1,8,10,31.5782,23.0058,False
101,3,6.5,1000,34.4132,22.5983,False
102,3,6.5,100,34.4271,22.5968,False
103,1,7.5,10,32.4811,22.5375,False
104,1,7,10,33.3682,22.123,False
105,1,6.5,10,34.0782,21.5952,False
106,3,7,1000,32.4423,21.5441,False
107,3,7,100,32.4419,21.543,False
108,1,6,10,34.4178,20.7589,False
109,3,7.5,1000,30.6991,20.5808,False
110,3,7.5,100,30.6985,20.5801,False
111,1,5.5,10,34.8063,19.9069,True
112,3,8,1000,29.0884,19.719,True
113,3,8,100,29.0878,19.7185,True
114,6,5.5,1000,28.8541,17.594,False
115,6,5.5,100,28.8617,17.5876,False
116,6,6,1000,27.104,16.7204,False
117,6,6,100,27.1083,16.716,False
118,2,8,10,24.785,16.5967,False
119,2,7.5,10,25.4745,16.3326,False
120,2,7,10,26.2766,16.0364,False
121,6,6.5,1000,25.5441,15.9082,False
122,6,6.5,100,25.5468,15.9053,False
123,2,6.5,10,27.3578,15.6273,False
124,6,7,1000,24.1415,15.1805,False
125,6,7,100,24.1428,15.1785,False
126,2,6,10,28.2188,15.1607,False
127,2,5.5,10,29.0712,14.8241,True
128,6,7.5,1000,22.9291,14.5017,False
129,6,7.5,100,22.9293,14.5004,False
130,6,8,1000,21.8004,13.8898,False
131,6,8,100,21.8,13.889,False
132,3,8,10,21.035,13.2335,False
133,10,5.5,1000,22.8649,13.2166,False
134,10,5.5,100,22.8956,13.206,False
135,3,7.5,10,21.6627,13.037,False
136,3,7,10,22.6245,12.8296,False
137,3,6.5,10,23.9027,12.6284,False
138,10,6,1000,21.5944,12.488,False
139,10,6,100,21.61,12.482,False
140,3,6,10,25.0668,12.4209,False
141,3,5.5,10,26.0616,12.2641,True
142,10,6.5,1000,20.3372,11.8728,False
143,10,6.5,100,20.3449,11.869,False
144,10,7,1000,19.187,11.3283,False
145,10,7,100,19.1911,11.3257,False
146,10,7.5,1000,18.1261,10.8366,False
147,10,7.5,100,18.1281,10.8347,False
148,10,8,1000,17.1177,10.3947,False
