$\gamma^\mathrm{risk}$,$\gamma^\mathrm{trade}$,$\gamma^\mathrm{hold}$,Return,Risk,is_pareto
0.1,5.5,1000.0,51.0539,36.4799,True
0.1,5.5,100.0,51.0536,36.4796,True
0.10511400000000001,5.6683699999999995,871.8760000000001,50.7056,36.4438,False
0.107267,5.6235599999999994,474.08,50.7893,36.4428,False
0.107267,5.6235599999999994,474.08,50.7893,36.4428,False
0.111025,5.54212,771.166,50.9639,36.4423,False
0.111025,5.54212,771.166,50.9639,36.4423,False
0.110202,5.57914,838.806,50.8858,36.4406,False
0.11081500000000001,5.58022,121.993,50.8827,36.4386,False
0.1,6.0,1000.0,49.9745,36.4274,False
0.1,6.0,100.0,49.9738,36.427,False
0.11909700000000001,5.63577,466.835,50.7571,36.4035,False
0.113756,5.8038,61.7529,50.4021,36.3848,False
0.1,6.5,1000.0,48.7882,36.3798,False
0.1,6.5,100.0,48.7882,36.3798,False
0.10993199999999999,6.11,247.104,49.7727,36.3688,False
0.11986199999999998,5.88095,70.5175,50.2174,36.3657,False
0.11834000000000001,5.97509,797.318,50.0193,36.3633,False
0.10881099999999999,5.67026,46.9454,50.766999999999996,36.3571,False
0.132364,5.684159999999999,281.428,50.6621,36.3559,False
0.10363699999999999,6.568960000000001,104.398,48.6288,36.3545,False
0.127173,5.8737,282.654,50.2187,36.3469,False
0.11093499999999999,6.39619,259.752,49.0556,36.3455,False
0.12391500000000001,5.9741,193.13,50.022,36.3431,False
0.10279,6.6618,292.26,48.4224,36.341,False
0.10461300000000001,6.66515,338.26,48.4141,36.3333,False
0.10461300000000001,6.66515,338.26,48.4141,36.3333,False
0.114293,6.44594,123.052,48.9193,36.3322,False
0.11484000000000001,6.41769,442.605,48.995,36.3312,False
0.11484000000000001,6.41769,442.605,48.995,36.3312,False
0.115895,6.39501,152.408,49.0571,36.3275,False
0.144285,5.62818,527.505,50.7603,36.3255,False
0.144285,5.62818,527.505,50.7603,36.3255,False
0.10023,6.85474,484.001,48.0554,36.3049,False
0.10023,6.85474,484.001,48.0554,36.3049,False
0.13186199999999998,6.03118,220.855,49.9178,36.3026,False
0.13186199999999998,6.03118,220.855,49.9178,36.3026,False
0.10122,6.86481,464.494,48.041000000000004,36.2984,False
