,$\gamma^\mathrm{risk}$,$\gamma^\mathrm{trade}$,$\gamma^\mathrm{hold}$,Return,Risk,is_pareto
0,1,7,100,42.4436,36.1287,False
1,1,7,1000,42.4431,36.1287,False
2,1,8,1000,40.5968,33.2703,False
3,1,8,100,40.5972,33.2703,False
4,1,9,1000,37.9329,30.7511,False
5,1,9,100,37.9329,30.7511,False
6,2,7,100,36.1393,29.4547,False
7,2,7,1000,36.1394,29.4547,False
8,1,10,100,36.7013,27.3943,False
9,1,10,1000,36.7013,27.3943,False
10,2,8,100,32.4036,26.215,False
11,2,8,1000,32.4037,26.215,False
12,1,9,10,36.8069,24.656,False
13,1,11,100,33.0779,24.4697,False
14,1,11,1000,33.0779,24.4697,False
15,1,8,10,38.2327,24.3647,False
16,3,7,100,29.2968,23.6906,False
17,3,7,1000,29.2969,23.6906,False
18,1,7,10,43.9567,23.6888,True
19,1,10,10,33.687,23.2567,False
20,2,9,100,29.3945,23.1102,False
21,2,9,1000,29.3945,23.1102,False
22,1,12,100,29.7905,22.0537,False
23,1,12,1000,29.7905,22.0537,False
24,1,11,10,29.8118,21.3813,False
25,3,8,100,26.1575,20.903,False
26,3,8,1000,26.1576,20.903,False
27,2,10,1000,26.8991,20.52,False
28,2,10,100,26.8991,20.52,False
29,1,12,10,27.7266,19.8795,False
30,2,8,10,32.2082,18.8681,False
31,2,7,10,37.0664,18.6686,True
32,3,9,100,22.9273,18.5647,False
33,3,9,1000,22.9274,18.5647,False
34,2,11,100,24.5825,18.4136,False
35,2,11,1000,24.5825,18.4136,False
36,2,9,10,28.3504,18.2601,False
37,2,10,10,26.1197,17.1254,False
38,1,7,0.1,29.6596,16.742,False
39,2,12,100,22.3284,16.639,False
40,2,12,1000,22.3284,16.639,False
41,3,10,100,20.5739,16.6201,False
42,3,10,1000,20.5739,16.6201,False
43,1,7,1,31.926,16.1061,False
44,2,11,10,23.6778,15.916,False
45,1,8,0.1,21.2393,15.7344,False
46,3,8,10,28.1275,15.7247,False
47,3,7,10,32.3566,15.6892,True
48,2,7,0.1,27.8533,15.5093,False
49,1,8,1,22.967,15.1795,False
50,2,7,1,29.1291,15.0067,True
51,3,11,1000,19.2475,14.9704,False
52,3,11,100,19.2475,14.9704,False
53,2,8,0.1,19.867,14.9127,False
54,6,7,100,18.8908,14.8412,False
55,6,7,1000,18.8911,14.8412,False
56,3,9,10,24.9398,14.7141,False
57,2,12,10,21.3819,14.6852,False
58,3,7,0.1,26.3995,14.5675,False
59,1,9,0.1,13.6938,14.4009,False
60,2,8,1,21.0515,14.3744,False
61,3,7,1,27.4098,14.1562,True
62,1,9,1,15.8882,14.0626,False
63,3,8,0.1,19.0431,13.9494,False
64,3,10,10,22.3078,13.7671,False
65,2,9,0.1,13.4665,13.7254,False
66,3,12,100,17.8697,13.6899,False
67,3,12,1000,17.8698,13.6899,False
68,1,10,0.1,9.33775,13.5757,False
69,3,8,1,19.9642,13.556,False
70,1,10,1,11.0503,13.5367,False
71,6,8,100,17.3745,13.4898,False
72,6,8,1000,17.3746,13.4898,False
73,1,11,1,9.50904,13.4878,False
74,1,12,1,8.26044,13.3895,False
75,2,9,1,14.7683,13.3515,False
76,1,11,0.1,6.83016,13.1663,False
77,1,12,0.1,6.49688,13.0976,False
78,3,9,0.1,13.3746,13.0834,False
79,2,10,0.1,8.87432,12.8936,False
