,$\gamma^\mathrm{risk}$,$\gamma^\mathrm{trade}$,$\gamma^\mathrm{hold}$,Return,Risk,is_pareto
0,0.1,6,1000,33.8125,37.8592,False
1,0.1,6,100,33.8126,37.8592,False
2,0.1,5.5,1000,35.8191,37.8556,False
3,0.1,5.5,100,35.8191,37.8556,True
4,0.17782,5.5,1000,35.5596,37.5124,False
5,0.17782,5.5,100,35.5597,37.5124,True
6,0.1,6.5,100,33.9267,37.4445,False
7,0.1,6.5,1000,33.9266,37.4445,False
8,0.17782,6,1000,33.3675,37.4183,False
9,0.17782,6,100,33.3676,37.4183,False
10,0.31624,5.5,1000,34.6245,36.9791,False
11,0.31624,5.5,100,34.6249,36.9791,False
12,0.17782,6.5,100,33.3664,36.9786,False
13,0.17782,6.5,1000,33.3662,36.9786,False
14,0.31624,6,100,32.6754,36.7346,False
15,0.31624,6,1000,32.6751,36.7346,False
16,0.562,5.5,1000,33.505,36.1372,False
17,0.562,5.5,100,33.506,36.1372,False
18,0.31624,6.5,100,32.9677,35.6203,False
19,0.31624,6.5,1000,32.9673,35.6203,False
20,0.1,7,1000,33.0564,35.5837,False
21,0.1,7,100,33.0565,35.5837,False
22,0.562,6,100,33.2062,35.3428,False
23,0.562,6,1000,33.205,35.3428,False
24,0.17782,7,100,32.8831,34.8616,False
25,0.17782,7,1000,32.883,34.8616,False
26,1,5.5,1000,32.8877,33.6783,False
27,1,5.5,100,32.8892,33.6782,False
28,0.31624,7,1000,32.0355,33.1521,False
29,0.31624,7,100,32.0361,33.152,False
30,0.1,7.5,100,32.8762,32.9157,False
31,0.1,7.5,1000,32.8762,32.9157,False
32,0.562,6.5,1000,32.3867,32.7462,False
33,0.562,6.5,100,32.3861,32.7462,False
34,0.1,6.5,10,31.8639,31.8337,False
35,0.17782,7.5,1000,32.0193,31.8284,False
36,0.17782,7.5,100,32.0196,31.8284,False
37,0.1,7,10,31.5353,31.6607,False
38,0.1,6,10,33.8337,31.1204,False
39,0.17782,6.5,10,30.7637,31.0186,False
40,1,6,1000,32.5165,30.9355,False
41,1,6,100,32.5158,30.9354,False
42,0.17782,7,10,29.9511,30.7022,False
43,0.17782,6,10,32.9566,30.4065,False
44,0.31624,7.5,1000,30.3464,30.1071,False
45,0.31624,7.5,100,30.3462,30.1071,False
46,0.562,7,1000,30.3309,30.0075,False
47,0.562,7,100,30.3305,30.0075,False
48,0.1,5.5,10,35.2488,29.9425,True
49,0.1,8,1000,31.227,29.9145,False
50,0.1,8,100,31.2272,29.9145,False
51,0.31624,6.5,10,29.1795,29.7696,False
52,0.1,7.5,10,30.5623,29.7337,False
53,0.31624,6,10,31.0453,29.2365,False
54,0.17782,5.5,10,34.877,29.2188,True
55,0.17782,8,1000,30.6319,29.0834,False
56,0.17782,8,100,30.6318,29.0834,False
57,0.31624,7,10,28.1323,28.962,False
58,0.17782,7.5,10,29.2132,28.6132,False
59,1,6.5,1000,29.6308,28.1883,False
60,1,6.5,100,29.6302,28.1883,False
61,0.31624,5.5,10,34.2149,27.9222,True
62,0.31624,8,1000,29.0093,27.5864,False
63,0.31624,8,100,29.0092,27.5864,False
64,0.562,7.5,1000,28.3378,27.4626,False
65,0.562,7.5,100,28.3375,27.4626,False
66,0.1,8,10,28.9153,27.4374,False
67,0.562,6,10,28.5481,27.2349,False
68,0.562,6.5,10,26.2922,27.2238,False
69,0.31624,7.5,10,26.8412,26.7908,False
70,0.17782,8,10,28.2122,26.5398,False
71,0.562,7,10,24.8264,25.8071,False
72,0.562,5.5,10,32.4575,25.7982,True
73,1,7,1000,28.069,25.7477,True
74,1,7,100,28.0685,25.7477,True
75,0.562,8,1000,26.6359,25.4,False
76,0.562,8,100,26.6357,25.4,False
77,2,5.5,1000,27.1327,25.3497,False
78,2,5.5,100,27.131,25.3497,False
79,0.31624,8,10,26.094,25.0435,False
80,0.562,7.5,10,24.0955,24.0559,False
81,1,7.5,1000,26.7987,23.744,False
82,1,7.5,100,26.7984,23.7439,False
83,1,6,10,24.4426,23.315,False
84,2,6,1000,24.8999,22.926,False
85,2,6,100,24.8987,22.9259,False
86,1,6.5,10,23.3352,22.7494,False
87,0.562,8,10,23.7504,22.7197,False
88,1,5.5,10,28.0297,22.6792,True
89,1,8,100,24.4946,21.9511,False
90,1,8,1000,24.4948,21.9511,True
91,1,7,10,22.5439,21.5388,False
92,2,6.5,1000,22.8902,20.9372,True
93,2,6.5,100,22.8893,20.9372,True
94,3,5.5,1000,21.3288,20.4875,False
95,3,5.5,100,21.3267,20.4874,False
96,1,7.5,10,22.4569,20.3757,True
97,1,8,10,21.377,19.2724,False
98,2,7,1000,21.1544,19.1959,False
99,2,7,100,21.1538,19.1959,False
100,3,6,1000,19.8732,18.6267,False
101,3,6,100,19.8717,18.6267,False
102,2,7.5,1000,19.5147,17.7398,False
103,2,7.5,100,19.5143,17.7398,False
104,2,5.5,10,21.3791,17.6954,True
105,0.1,8,1,8.84733,17.6835,False
106,0.1,7,1,9.29669,17.4053,False
107,0.1,7.5,1,8.9512,17.3894,False
108,2,6,10,20.6552,17.1128,True
109,0.1,6.5,1,12.2711,17.0655,False
110,3,6.5,1000,18.4337,16.9967,False
111,3,6.5,100,18.4325,16.9967,False
112,0.17782,8,1,7.90644,16.9631,False
113,0.17782,7,1,8.47138,16.9012,False
114,0.17782,7.5,1,8.02112,16.8238,False
115,0.17782,6.5,1,11.5162,16.6882,False
116,2,8,1000,18.022,16.541,False
117,2,8,100,18.0217,16.541,False
118,2,6.5,10,19.9305,16.3178,True
119,0.1,6,1,14.5335,16.3044,False
120,0.1,8,0.1,5.84064,16.2759,False
121,0.1,7,0.1,6.20449,16.2101,False
122,0.31624,6.5,1,10.5389,16.1268,False
123,0.31624,7,1,7.41424,16.1151,False
124,0.1,5.5,1,16.6731,16.0133,False
125,0.1,7.5,0.1,5.26395,16.001,False
126,0.31624,7.5,1,6.57783,15.9636,False
127,0.31624,8,1,6.82169,15.9385,False
128,0.17782,7,0.1,5.77333,15.9253,False
129,0.17782,6,1,14.1603,15.9243,False
